ID,Prediction
0,1
2,1
4,0
8,1
9,0
10,1
13,0
14,0
15,0
19,0
21,0
24,0
27,0
30,1
33,1
35,0
37,0
41,0
43,0
45,1
46,0
47,0
48,1
55,1
56,0
57,1
59,1
61,1
62,1
64,1
67,0
68,0
72,1
78,0
80,0
81,1
82,0
84,1
88,0
90,1
93,0
94,1
95,1
97,0
99,0
102,0
104,1
106,0
107,0
108,0
109,1
111,0
113,0
116,1
117,1
119,1
121,0
123,0
124,1
126,1
127,0
129,0
137,1
138,1
140,0
141,1
142,0
143,0
146,1
147,0
156,0
165,1
166,1
167,0
168,0
170,0
174,0
176,0
177,1
180,0
183,0
184,0
186,0
187,0
190,0
193,0
195,1
197,0
201,0
202,0
203,0
204,1
210,1
213,1
216,1
218,0
223,1
227,0
228,1
229,0
232,0
236,0
237,0
238,0
239,1
244,0
245,0
248,0
252,0
260,1
263,1
265,1
272,0
274,0
275,0
276,0
277,0
279,0
281,1
283,1
287,1
291,0
293,0
295,0
297,1
300,1
306,1
307,1
308,0
312,1
313,1
316,0
317,1
323,1
326,0
327,1
329,1
333,0
335,0
336,0
338,0
339,1
340,1
344,0
345,0
347,1
348,1
349,0
354,0
356,1
357,1
358,0
359,0
360,0
362,1
363,1
371,1
383,1
386,0
390,0
392,0
393,1
397,0
398,0
399,0
400,1
402,0
406,0
407,1
408,1
413,0
417,0
421,1
423,0
425,0
427,0
428,0
429,0
430,0
433,0
438,0
443,0
445,0
447,0
448,0
450,0
451,0
453,0
455,1
459,0
464,0
468,1
470,0
472,0
476,1
477,0
478,1
481,1
482,1
487,0
492,1
493,1
496,0
498,0
504,0
506,0
509,1
511,1
512,0
514,0
516,0
520,0
532,1
535,0
537,0
540,0
542,0
543,1
544,0
545,0
546,0
547,1
548,0
550,0
551,0
555,0
557,0
558,1
561,1
562,0
564,0
568,1
569,1
572,0
578,0
579,1
582,0
591,1
595,1
598,1
599,0
600,1
602,0
604,0
605,0
607,1
608,1
609,0
610,0
611,0
612,1
613,0
614,0
616,1
620,1
622,0
623,0
624,1
626,0
628,1
629,0
630,1
631,0
636,1
641,1
642,1
645,1
653,0
654,0
655,1
657,0
659,0
660,0
663,0
664,1
665,0
666,0
668,0
671,0
673,0
680,0
681,0
688,0
690,0
692,0
694,0
696,0
698,0
699,1
701,1
702,0
703,0
705,1
714,1
715,0
721,0
726,0
727,1
729,0
730,0
732,1
735,0
736,0
741,0
744,1
748,1
753,1
758,0
761,0
765,0
766,0
767,1
768,0
772,1
777,1
780,1
782,1
784,0
785,1
788,0
789,0
793,1
795,0
797,1
798,0
799,0
810,1
812,1
813,1
816,0
818,0
819,1
822,0
823,0
825,1
829,0
830,1
831,0
833,0
835,0
840,0
844,1
845,1
846,0
847,1
850,0
855,0
856,0
857,0
859,0
862,0
863,0
867,1
869,0
873,1
880,0
881,0
883,0
884,0
887,0
888,0
891,0
892,0
893,1
895,0
897,0
899,0
900,0
902,0
904,0
907,0
912,0
914,0
916,0
919,0
920,0
924,0
926,0
927,0
928,0
930,1
931,0
934,0
936,1
937,1
938,0
939,0
940,1
946,1
948,1
949,1
950,0
952,1
953,0
956,0
957,0
960,1
961,1
965,1
966,1
969,0
970,1
971,0
974,1
975,1
979,0
980,0
984,0
988,0
990,0
991,0
992,1
1001,1
1006,0
1008,1
1012,1
1014,1
1015,0
1020,0
1023,1
1026,1
1028,0
1029,0
1030,0
1032,0
1034,1
1035,0
1040,0
1043,1
1049,0
1050,0
1053,0
1061,0
1062,1
1063,0
1064,1
1065,1
1066,0
1067,0
1069,0
1071,0
1075,1
1076,0
1077,0
1082,0
1083,0
1084,0
1085,0
1088,0
1089,0
1091,0
1092,0
1093,0
1096,0
1098,0
1099,0
1101,1
1102,0
1104,0
1108,0
1110,0
1111,1
1112,0
1113,0
1114,1
1119,0
1120,1
1121,0
1122,0
1129,0
1132,0
1134,0
1137,1
1140,0
1144,0
1150,0
1151,0
1155,0
1157,0
1160,0
1161,1
1166,1
1169,0
1170,0
1171,0
1174,0
1178,1
1181,0
1182,1
1183,1
1185,0
1186,0
1187,0
1196,0
1197,0
1199,1
1201,0
1202,0
1205,0
1207,0
1210,0
1213,0
1215,1
1222,0
1224,0
1225,0
1226,1
1228,0
1229,1
1230,0
1231,1
1238,1
1239,0
1244,0
1245,0
1247,0
1249,0
1251,0
1258,1
1260,1
1261,1
1264,0
1265,0
1266,0
1268,1
1270,0
1275,1
1278,0
1281,0
1287,0
1289,0
1290,0
1293,0
1295,0
1298,0
1301,0
1305,1
1307,1
1309,1
1310,0
1311,0
1313,0
1316,0
1319,1
1324,0
1329,1
1330,0
1336,0
1337,0
1338,0
1343,0
1347,1
1348,0
1349,0
1358,0
1359,0
1360,1
1363,0
1364,0
1366,0
1369,0
1378,1
1379,0
1383,1
1385,1
1386,0
1387,0
1390,0
1392,1
1393,0
1396,0
1398,0
1400,1
1401,0
1405,0
1406,0
1409,1
1410,0
1411,1
1412,0
1413,0
1417,1
1420,0
1421,0
1426,0
1427,1
1428,0
1434,0
1435,0
1437,1
1441,1
1442,0
1446,0
1448,0
1449,0
1451,0
1460,0
1461,0
1465,0
1466,1
1468,0
1469,0
1470,0
1472,0
1474,0
1475,0
1479,1
1482,1
1483,0
1484,0
1485,0
1486,0
1487,0
1488,0
1491,0
1494,0
1501,1
1502,1
1505,0
1508,0
1516,1
1517,0
1518,0
1521,1
1522,0
1523,0
1528,0
1529,0
1534,0
1537,1
1540,0
1543,1
1545,0
1548,1
1549,1
1552,0
1561,1
1562,1
1565,0
1567,0
1569,0
1571,0
1573,0
1577,0
1579,1
1580,0
1581,0
1583,1
1584,0
1586,0
1587,0
1588,1
1591,0
1593,0
1595,0
1598,0
1601,0
1604,0
1605,1
1606,0
1610,0
1617,1
1618,0
1622,1
1629,0
1630,0
1631,0
1632,0
1633,1
1635,0
1637,0
1639,0
1644,1
1645,0
1648,0
1651,0
1654,1
1655,0
1657,1
1659,0
1663,1
1665,1
1667,1
1668,0
1676,1
1678,1
1683,0
1685,0
1686,1
1688,1
1689,0
1690,1
1691,0
1693,0
1694,0
1696,0
1699,1
1706,0
1709,0
1712,1
1714,0
1715,0
1720,0
1721,0
1722,0
1723,0
1730,0
1736,1
1739,1
1743,0
1747,0
1748,0
1750,0
1751,1
1753,1
1755,1
1756,1
1761,1
1762,1
1764,1
1766,1
1767,0
1769,1
1776,0
1778,0
1780,0
1781,0
1784,1
1789,0
1793,0
1794,0
1795,0
1801,0
1802,0
1805,1
1807,0
1811,1
1813,0
